column_name,category_en,category_cn,frequency_band,brain_region,description_en,description_cn,physiological_meaning_en,physiological_meaning_cn,computation_en,computation_cn,unit_notes_en,unit_notes_cn
efficiency,Graph Metric,图论指标,broadband,whole-brain,"Global efficiency of the network: the average of the inverse of the shortest path length between every pair of nodes.","网络全局效率：所有节点对之间最短路径长度倒数的平均值。","Global efficiency quantifies how efficiently information can be transferred throughout the whole brain network. Higher values indicate a more integrated brain capable of rapid long-distance communication, typically associated with better cognitive flexibility and alertness.","全局效率衡量信息在整个脑网络中传递的效率。数值越高表示大脑整合性越强、可进行更快速的远距离通讯，通常与更好的认知灵活性和警觉水平相关。","E_glob = (1 / N(N-1)) * sum_{i≠j} 1 / d_ij, where d_ij is the shortest path distance.","E_glob = (1 / N(N-1)) * Σ_{i≠j} 1 / d_ij，其中 d_ij 为最短路径距离。","Dimensionless in [0,1] for normalized graphs.","归一化图中为 [0,1] 之间的无量纲数值。"
modularity,Graph Metric,图论指标,broadband,whole-brain,"Modularity (Q): the degree to which the network can be partitioned into densely connected sub-modules with sparse between-module connections.","模块度（Q）：衡量网络可被划分为内部连接紧密、模块间连接稀疏的子模块的程度。","High modularity indicates the brain is organized into segregated functional communities (e.g., visual, motor, default-mode). Too little modularity implies the system is overly integrated/random; too much implies poor integration. Driving and RL tasks often require a balanced level for efficient yet flexible processing.","模块度高说明大脑被组织为若干相对独立的功能社区（如视觉、运动、默认模式等）。模块度过低意味着系统过度整合/随机化；过高则提示整合不足。驾驶与强化学习任务通常需要一个平衡的模块度水平，以实现既高效又灵活的信息处理。","Computed via community-detection algorithms (e.g., Louvain) that maximize Q = (1/2m) * sum_ij [A_ij − (k_i k_j)/2m] * δ(c_i, c_j).","通过社区检测算法（如 Louvain）最大化 Q = (1/2m) * Σ_ij [A_ij − (k_i k_j)/2m] * δ(c_i, c_j) 得到。","Dimensionless, typically in [0,1].","无量纲，通常在 [0,1] 范围内。"
clustering,Graph Metric,图论指标,broadband,whole-brain,"Average clustering coefficient: the fraction of a node's neighbors that are also connected to each other, averaged across all nodes.","平均聚类系数：一个节点的邻居之间也彼此相连的比例，对所有节点求平均。","Clustering coefficient indexes local functional segregation — how much regions form tightly knit triangles. High clustering reflects robust local processing (e.g., within sensory modules); pathological elevations or reductions appear in drowsiness, mental fatigue, and attentional lapses.","聚类系数衡量局部功能分化程度——即脑区之间形成紧密三角连接的程度。高聚类反映稳健的局部加工（如感觉模块内部）；困倦、心理疲劳和注意涣散时常出现异常升高或降低。","C_i = 2 * t_i / (k_i * (k_i − 1)), where t_i is the number of triangles around node i; then averaged across nodes.","C_i = 2 * t_i / (k_i * (k_i − 1))，t_i 为节点 i 周围的三角形数量；再在所有节点间取平均。","Dimensionless, typically in [0,1].","无量纲，通常在 [0,1] 范围内。"
path_length,Graph Metric,图论指标,broadband,whole-brain,"Characteristic path length: the average shortest-path distance between all pairs of nodes in the functional network.","特征路径长度：功能网络中所有节点对之间最短路径距离的平均值。","Shorter path length implies a more integrated, ""small-world""–like brain capable of rapid global communication. Lengthening of the path length is commonly reported in drowsy driving, sleep deprivation, and cognitive decline, indicating less efficient information routing.","路径长度越短，大脑越具有整合良好的“小世界”特性，能够进行快速的全局通讯。驾驶疲劳、睡眠剥夺和认知衰退状态下常见路径长度增长，意味着信息传递效率下降。","L = (1 / N(N-1)) * sum_{i≠j} d_ij, where d_ij is the shortest path length between nodes i and j.","L = (1 / N(N-1)) * Σ_{i≠j} d_ij，其中 d_ij 为节点 i、j 间的最短路径长度。","Arbitrary units (length = inverse weight in weighted graphs).","任意单位（加权图中路径长度常取为权重的倒数）。"
psd_delta_frontal,Power Spectral Density,功率谱密度,Delta (0.5-4 Hz),frontal,"Absolute power spectral density of the Delta band (0.5–4 Hz) at frontal electrodes.","额叶电极 Delta 频段（0.5-4 Hz）的绝对功率谱密度。","Frontal Delta power typically dominates during deep sleep and unconsciousness. In awake drivers, elevated frontal Delta is a robust marker of drowsiness, microsleeps, and severely reduced vigilance; very low Delta at frontal sites is characteristic of focused, alert states.","额叶 Delta 功率通常在深睡和意识丧失时显著占优。在清醒驾驶者中，额叶 Delta 升高是困倦、微睡眠以及警觉水平严重下降的稳健标志；注意集中、警觉状态下额叶 Delta 显著较低。","Welch's method on band-pass filtered signal (0.5–4 Hz) averaged over frontal electrodes; z-scored across subjects.","对 0.5-4 Hz 带通信号使用 Welch 方法估计功率谱密度，并在额叶电极间取平均；受试者间做 z-score 标准化。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_delta_frontal,Relative Power,相对功率,Delta (0.5-4 Hz),frontal,"Relative Delta power at frontal electrodes: the share of total 0.5–45 Hz power contributed by the Delta band.","额叶电极 Delta 相对功率：Delta 频段在 0.5-45 Hz 总功率中所占比例。","Relative power normalizes out individual differences in overall EEG amplitude (e.g., skull/scalp differences) and highlights the spectral ""shape"". High frontal relative Delta indicates a shift toward slow, drowsy-like oscillations and is a classic fatigue/drowsiness indicator.","相对功率剔除了个体整体 EEG 幅值差异（如颅骨/头皮差异）的影响，更加突出频谱的“形状”。额叶相对 Delta 升高表示脑电向缓慢、类困倦节律偏移，是疲劳/困倦的经典指标。","rel_power = band_power / total_power (0.5–45 Hz).","rel_power = band_power / total_power（0.5-45 Hz）。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_delta_central,Power Spectral Density,功率谱密度,Delta (0.5-4 Hz),central,"Absolute Delta power at central electrodes (near the sensorimotor cortex).","中央区电极（感觉运动皮层附近）Delta 频段的绝对功率谱密度。","Central Delta increases indicate reduced sensorimotor arousal and are linked to slower reaction times in motor tasks such as steering and braking.","中央区 Delta 升高表示感觉运动觉醒水平下降，与转向、制动等运动任务中的反应减慢相关。","Same as psd_delta_frontal, averaged over central electrodes.","与 psd_delta_frontal 相同，但在中央区电极间取平均。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_delta_central,Relative Power,相对功率,Delta (0.5-4 Hz),central,"Relative Delta power at central electrodes.","中央区 Delta 相对功率。","Reflects the share of sensorimotor activity that is in slow-wave form; rises with fatigue, monotonous driving, and prolonged time-on-task.","反映感觉运动区活动中慢波成分所占比例；在疲劳、单调驾驶和长时间任务后升高。","Band power divided by total power at central electrodes.","中央区频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_delta_parietal,Power Spectral Density,功率谱密度,Delta (0.5-4 Hz),parietal,"Absolute Delta power at parietal electrodes.","顶叶电极 Delta 频段的绝对功率谱密度。","Parietal Delta increases are associated with reduced attention and impaired spatial awareness, both critical for navigating the road environment.","顶叶 Delta 升高与注意下降和空间感知受损相关，而这两者对驾驶中的路况感知至关重要。","Same methodology, parietal electrodes.","方法相同，区域为顶叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_delta_parietal,Relative Power,相对功率,Delta (0.5-4 Hz),parietal,"Relative Delta power at parietal electrodes.","顶叶 Delta 相对功率。","Indicates spectral shift toward slow waves over the parietal cortex — commonly elevated in low-vigilance, post-lunch, or night-driving conditions.","表示顶叶皮层频谱向慢波偏移——在低警觉、午后或夜间驾驶状态下常见升高。","Band power divided by total power at parietal electrodes.","顶叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_delta_occipital,Power Spectral Density,功率谱密度,Delta (0.5-4 Hz),occipital,"Absolute Delta power at occipital electrodes.","枕叶电极 Delta 频段的绝对功率谱密度。","Occipital Delta elevation often co-occurs with reduced visual attention/processing; in drivers it predicts missed visual events and delayed hazard perception.","枕叶 Delta 升高常伴随视觉注意/加工下降；在驾驶中可预测漏视事件和危险感知延迟。","Same methodology, occipital electrodes.","方法相同，区域为枕叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_delta_occipital,Relative Power,相对功率,Delta (0.5-4 Hz),occipital,"Relative Delta power at occipital electrodes.","枕叶 Delta 相对功率。","Higher values indicate the visual cortex is drifting toward low-arousal, slow-wave states.","数值升高表示视觉皮层正向低觉醒、慢波状态漂移。","Band power divided by total power at occipital electrodes.","枕叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_delta_temporal,Power Spectral Density,功率谱密度,Delta (0.5-4 Hz),temporal,"Absolute Delta power at temporal electrodes.","颞叶电极 Delta 频段的绝对功率谱密度。","Temporal Delta rises with reduced auditory/linguistic processing; relevant for failures in responding to auditory warnings or in-vehicle voice instructions.","颞叶 Delta 升高与听觉/语言处理下降有关；与无法响应听觉预警或车载语音指令的情况相关。","Same methodology, temporal electrodes.","方法相同，区域为颞叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_delta_temporal,Relative Power,相对功率,Delta (0.5-4 Hz),temporal,"Relative Delta power at temporal electrodes.","颞叶 Delta 相对功率。","Highlights slow-wave dominance over temporal cortex; often increases together with frontal Delta during drowsiness.","突出颞叶皮层中慢波成分的相对占比；在困倦时常与额叶 Delta 同步升高。","Band power divided by total power at temporal electrodes.","颞叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_theta_frontal,Power Spectral Density,功率谱密度,Theta (4-8 Hz),frontal,"Absolute Theta power (4–8 Hz) at frontal electrodes (frontal midline theta, FMθ).","额叶电极 Theta 频段（4-8 Hz）的绝对功率谱密度，即额中线 Theta（FMθ）。","Frontal midline theta is a well-established marker of cognitive control, working-memory load, error monitoring, and sustained attention. Moderate elevations reflect increased mental effort; large increases with concurrent performance decline often indicate mental fatigue.","额中线 Theta 是认知控制、工作记忆负荷、错误监控和持续注意的经典标志。适度升高反映心理努力增加；若大幅升高且同时伴随绩效下降，则通常提示心理疲劳。","Welch's method on 4–8 Hz filtered signal averaged over frontal electrodes; z-scored across subjects.","对 4-8 Hz 滤波信号使用 Welch 方法估计功率谱密度，并在额叶电极间求平均；受试者间做 z-score 标准化。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_theta_frontal,Relative Power,相对功率,Theta (4-8 Hz),frontal,"Relative Theta power at frontal electrodes.","额叶电极 Theta 相对功率。","Relative frontal theta tracks workload and task engagement while controlling for overall signal amplitude; commonly used in driver workload and fatigue classifiers.","相对额叶 Theta 在控制整体信号幅值的前提下反映任务负荷与参与度，在驾驶员工作负荷和疲劳分类中被广泛使用。","Band power divided by total power at frontal electrodes.","额叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_theta_central,Power Spectral Density,功率谱密度,Theta (4-8 Hz),central,"Absolute Theta power at central electrodes.","中央区电极 Theta 频段的绝对功率谱密度。","Central Theta is linked to sensorimotor learning (e.g., motor skill acquisition) and error-related activity originating from the anterior cingulate cortex.","中央区 Theta 与感觉运动学习（如运动技能习得）以及起源于前扣带皮层的错误相关活动有关。","Same methodology, central electrodes.","方法相同，区域为中央区电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_theta_central,Relative Power,相对功率,Theta (4-8 Hz),central,"Relative Theta power at central electrodes.","中央区 Theta 相对功率。","Captures the spectral share of theta over sensorimotor cortex; rises with motor learning demands and corrective steering movements.","反映感觉运动皮层中 Theta 节律所占比例；在运动学习需求和修正性转向动作中常见升高。","Band power divided by total power at central electrodes.","中央区电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_theta_parietal,Power Spectral Density,功率谱密度,Theta (4-8 Hz),parietal,"Absolute Theta power at parietal electrodes.","顶叶电极 Theta 频段的绝对功率谱密度。","Parietal Theta relates to memory retrieval, spatial navigation, and the updating of an internal task model — processes heavily recruited while learning to drive in a new simulator/environment.","顶叶 Theta 与记忆提取、空间导航以及内部任务模型更新有关——在熟悉新模拟器/环境的驾驶学习中被广泛调用。","Same methodology, parietal electrodes.","方法相同，区域为顶叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_theta_parietal,Relative Power,相对功率,Theta (4-8 Hz),parietal,"Relative Theta power at parietal electrodes.","顶叶 Theta 相对功率。","Indicates the parietal cortex's tendency to engage theta-mediated memory/navigation processes.","反映顶叶皮层参与 Theta 节律介导的记忆/导航加工的倾向。","Band power divided by total power at parietal electrodes.","顶叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_theta_occipital,Power Spectral Density,功率谱密度,Theta (4-8 Hz),occipital,"Absolute Theta power at occipital electrodes.","枕叶电极 Theta 频段的绝对功率谱密度。","Occipital Theta is associated with visual encoding, top-down visual search, and scene-memory processes.","枕叶 Theta 与视觉编码、自上而下的视觉搜索以及场景记忆过程有关。","Same methodology, occipital electrodes.","方法相同，区域为枕叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_theta_occipital,Relative Power,相对功率,Theta (4-8 Hz),occipital,"Relative Theta power at occipital electrodes.","枕叶 Theta 相对功率。","Reflects engagement of the visual cortex in theta-band visual processing, controlling for amplitude.","在控制幅值的前提下，反映视觉皮层参与 Theta 频段视觉加工的程度。","Band power divided by total power at occipital electrodes.","枕叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_theta_temporal,Power Spectral Density,功率谱密度,Theta (4-8 Hz),temporal,"Absolute Theta power at temporal electrodes.","颞叶电极 Theta 频段的绝对功率谱密度。","Temporal Theta (especially medial-temporal) is a classical correlate of memory encoding and retrieval, including associative learning relevant to reinforcement-learning tasks.","颞叶 Theta（尤其是内侧颞叶）是记忆编码与提取的经典相关指标，包括与强化学习任务相关的联想学习。","Same methodology, temporal electrodes.","方法相同，区域为颞叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_theta_temporal,Relative Power,相对功率,Theta (4-8 Hz),temporal,"Relative Theta power at temporal electrodes.","颞叶 Theta 相对功率。","Indicates the share of temporal activity in the theta band — a proxy for memory/learning engagement.","反映颞叶活动中 Theta 成分所占比例——作为记忆/学习参与度的代理指标。","Band power divided by total power at temporal electrodes.","颞叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_alpha_frontal,Power Spectral Density,功率谱密度,Alpha (8-13 Hz),frontal,"Absolute Alpha power (8–13 Hz) at frontal electrodes.","额叶电极 Alpha 频段（8-13 Hz）的绝对功率谱密度。","Frontal Alpha is traditionally interpreted as an idling/inhibition rhythm. Asymmetric frontal Alpha is related to approach–withdrawal motivation; large bilateral increases are often seen with relaxation or reduced cognitive engagement.","额叶 Alpha 传统上被解释为“空转/抑制”节律。额叶 Alpha 不对称性与趋避动机有关；双侧整体大幅升高常见于放松或认知参与下降。","Welch's method on 8–13 Hz filtered signal averaged over frontal electrodes; z-scored across subjects.","对 8-13 Hz 滤波信号使用 Welch 方法估计功率谱密度，并在额叶电极间求平均；受试者间做 z-score 标准化。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_alpha_frontal,Relative Power,相对功率,Alpha (8-13 Hz),frontal,"Relative Alpha power at frontal electrodes.","额叶 Alpha 相对功率。","Higher relative frontal Alpha typically indicates reduced cognitive load / disengagement; lower values indicate active executive processing.","额叶 Alpha 相对功率升高通常表示认知负荷降低/脱离任务；降低则表示主动的执行加工。","Band power divided by total power at frontal electrodes.","额叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_alpha_central,Power Spectral Density,功率谱密度,Alpha (8-13 Hz),central,"Absolute Alpha power at central electrodes — dominated by the sensorimotor ""mu rhythm"".","中央区电极 Alpha 频段的绝对功率谱密度，主要由感觉运动 Mu 节律（mu rhythm）主导。","The central Mu rhythm is suppressed (""desynchronized"") during actual, observed, or imagined movement. Lower central Alpha therefore indicates active motor engagement, while higher central Alpha indicates motor-system idling.","中央 Mu 节律在实际运动、观察运动或运动想象时发生抑制（“去同步”）。因此中央 Alpha 偏低表示运动系统处于激活状态，偏高则表示运动系统处于空转。","Same methodology, central electrodes.","方法相同，区域为中央区电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_alpha_central,Relative Power,相对功率,Alpha (8-13 Hz),central,"Relative Alpha power at central electrodes (relative Mu).","中央区 Alpha 相对功率（相对 Mu 节律）。","Indicates the share of central activity in the sensorimotor Alpha/Mu rhythm; widely used in BCI and driver-state monitoring to index motor readiness.","反映感觉运动 Alpha/Mu 节律在中央区活动中所占比例；在脑机接口和驾驶员状态监测中常用作运动准备度的指标。","Band power divided by total power at central electrodes.","中央区电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_alpha_parietal,Power Spectral Density,功率谱密度,Alpha (8-13 Hz),parietal,"Absolute Alpha power at parietal electrodes.","顶叶电极 Alpha 频段的绝对功率谱密度。","Parietal Alpha desynchronization (decrease) reflects deployment of spatial attention; elevated parietal Alpha is associated with attentional disengagement and mind-wandering.","顶叶 Alpha 去同步（降低）反映空间注意的部署；顶叶 Alpha 升高与注意脱离和走神相关。","Same methodology, parietal electrodes.","方法相同，区域为顶叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_alpha_parietal,Relative Power,相对功率,Alpha (8-13 Hz),parietal,"Relative Alpha power at parietal electrodes.","顶叶 Alpha 相对功率。","Useful as a robust, amplitude-normalized index of parietal attentional state.","作为幅值归一化后、稳健的顶叶注意状态指标。","Band power divided by total power at parietal electrodes.","顶叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_alpha_occipital,Power Spectral Density,功率谱密度,Alpha (8-13 Hz),occipital,"Absolute Alpha power at occipital electrodes — the classic ""posterior dominant rhythm"" most prominent with eyes closed.","枕叶电极 Alpha 频段的绝对功率谱密度，即闭眼时最显著的经典“后部优势节律”。","Occipital Alpha suppresses when visual input is attended to. Higher occipital Alpha during eyes-open driving indicates reduced visual engagement, drowsiness, or gaze withdrawal; low occipital Alpha reflects active visual processing.","当视觉输入被注意时，枕叶 Alpha 会受到抑制。睁眼驾驶时枕叶 Alpha 升高表示视觉参与下降、困倦或视线回撤；枕叶 Alpha 偏低则表示视觉加工主动进行。","Same methodology, occipital electrodes.","方法相同，区域为枕叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_alpha_occipital,Relative Power,相对功率,Alpha (8-13 Hz),occipital,"Relative Alpha power at occipital electrodes.","枕叶 Alpha 相对功率。","One of the most widely used single-feature markers of vigilance / drowsiness: higher values often signal reduced visual alertness.","最常用的单指标警觉/困倦标志之一：数值升高通常提示视觉警觉下降。","Band power divided by total power at occipital electrodes.","枕叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_alpha_temporal,Power Spectral Density,功率谱密度,Alpha (8-13 Hz),temporal,"Absolute Alpha power at temporal electrodes.","颞叶电极 Alpha 频段的绝对功率谱密度。","Temporal Alpha changes are related to auditory attention gating and idling of temporal cortex when not processing sound/speech.","颞叶 Alpha 的变化与听觉注意的门控有关，并反映颞叶皮层在未处理声音/言语时的空转。","Same methodology, temporal electrodes.","方法相同，区域为颞叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_alpha_temporal,Relative Power,相对功率,Alpha (8-13 Hz),temporal,"Relative Alpha power at temporal electrodes.","颞叶 Alpha 相对功率。","Indicates the idling share of temporal activity; altered in auditory attention / vigilance changes.","反映颞叶活动中空转成分所占比例；在听觉注意和警觉水平改变时发生变化。","Band power divided by total power at temporal electrodes.","颞叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
